0 1 0 0
0.01 0.99997 -0.00836868 -0.00371585
0.02 0.999802 -0.018889 -0.00468329
0.03 0.999512 -0.0296952 -0.00543676
0.04 0.999112 -0.0411602 0.00160527
0.05 0.999197 -0.0398458 -0.000356092
0.06 0.998347 -0.0569314 -0.00564366
0.07 0.997939 -0.0641988 -0.00409336
0.08 0.997957 -0.0643963 -0.00400602
0.09 0.998132 -0.0613974 -0.00570945
0.1 0.998042 -0.0631182 -0.00240861
0.11 0.998099 -0.0629226 0.0056467
0.12 0.997654 -0.0696829 0.00774915
0.13 0.996559 -0.0842902 -0.00226007
0.14 0.996134 -0.0892321 0.00187011
0.15 0.995448 -0.0968398 0.00248727
0.16 0.994048 -0.111271 -0.000820374
0.17 0.993699 -0.114175 0.00825513
0.18 0.993354 -0.116745 0.0129594
0.19 0.992977 -0.12055 0.00342761
0.2 0.99279 -0.122097 0.0069657
0.21 0.992573 -0.124329 0.00119976
0.22 0.990661 -0.139394 0.0017621
0.23 0.988965 -0.151056 0.00244714
0.24 0.987535 -0.159935 0.00990642
0.25 0.987578 -0.160117 0.00613589
0.26 0.986585 -0.16691 0.00699775
0.27 0.985774 -0.171635 0.0052271
0.28 0.984364 -0.179986 0.00473751
0.29 0.983614 -0.183903 0.0105686
0.3 0.982597 -0.188953 0.0141093
0.31 0.982349 -0.189961 0.0178949
0.32 0.981672 -0.193403 0.0202459
0.33 0.980229 -0.201359 0.012317
0.34 0.978442 -0.210113 0.0122196
0.35 0.975629 -0.222522 0.0159711
0.36 0.974758 -0.226721 0.0108642
0.37 0.974579 -0.227283 0.0185521
0.38 0.972276 -0.236749 0.023078
0.39 0.971263 -0.241412 0.0187513
0.4 0.968645 -0.251534 0.0231276
0.41 0.965787 -0.263228 0.00817437
0.42 0.963339 -0.272099 0.0061555
0.43 0.961125 -0.279918 0.0067036
0.44 0.955631 -0.298412 0.00397685
0.45 0.952582 -0.30797 -0.00654791
0.46 0.948199 -0.321436 -0.00261311
0.47 0.943021 -0.336455 -0.00373651
0.48 0.940551 -0.343358 0.00290529
0.49 0.936554 -0.35416 0.0028745
0.5 0.937383 -0.352201 0.0064916
0.51 0.93545 -0.357077 0.0162118
0.52 0.936885 -0.352817 0.025427
0.53 0.934146 -0.359564 0.0308261
0.54 0.931002 -0.36746 0.0333831
0.55 0.927417 -0.376831 0.0303124
0.56 0.928871 -0.373702 0.0262732
0.57 0.926571 -0.380005 0.0161639
0.58 0.924256 -0.385359 0.0212199
0.59 0.922024 -0.390683 0.0216482
0.6 0.919212 -0.397022 0.0272393
0.61 0.915616 -0.405133 0.0300421
0.62 0.915383 -0.405398 0.0321556
0.63 0.909817 -0.417628 0.0365872
0.64 0.906828 -0.424029 0.0374317
0.65 0.904042 -0.429827 0.0384372
0.66 0.903437 -0.430411 0.0456854
0.67 0.895204 -0.446427 0.0538742
0.68 0.892378 -0.451557 0.0588208
0.69 0.889753 -0.456375 0.0623311
0.7 0.886949 -0.460216 0.0733231
0.71 0.885353 -0.463935 0.0713525
0.72 0.881468 -0.470985 0.0730147
0.73 0.876465 -0.480917 0.0684469
0.74 0.875094 -0.484072 0.0668909
0.75 0.871 -0.491664 0.0650829
0.76 0.868192 -0.496669 0.0647681
0.77 0.864701 -0.503633 0.0572388
0.78 0.860083 -0.511172 0.0598265
0.79 0.856485 -0.51627 0.0673123
0.8 0.852702 -0.522565 0.0668585
0.81 0.848567 -0.528628 0.0715063
0.82 0.847073 -0.531076 0.0719393
0.83 0.842368 -0.537672 0.0779389
0.84 0.838996 -0.543022 0.077276
0.85 0.832498 -0.550065 0.0956431
0.86 0.82784 -0.555711 0.103325
0.87 0.825998 -0.560175 0.0938733
0.88 0.815236 -0.573718 0.105913
0.89 0.813638 -0.575008 0.111871
0.9 0.810485 -0.579583 0.111112
0.91 0.805354 -0.586771 0.110836
0.92 0.80761 -0.583992 0.11096
0.93 0.801068 -0.592937 0.110877
0.94 0.803083 -0.590371 0.110276
0.95 0.798565 -0.595994 0.112837
0.96 0.794058 -0.602257 0.112096
0.97 0.787441 -0.611754 0.107753
0.98 0.785837 -0.612371 0.115795
0.99 0.782943 -0.615459 0.119247
1 0.775925 -0.62289 0.126356
1.01 0.766632 -0.634668 0.124528
1.02 0.761191 -0.639012 0.135424
1.03 0.754298 -0.647331 0.134512
1.04 0.753503 -0.649013 0.13099
1.05 0.743494 -0.659509 0.135934
1.06 0.739372 -0.664456 0.134484
1.07 0.735734 -0.669929 0.127265
1.08 0.730596 -0.675234 0.129131
1.09 0.729828 -0.676108 0.129345
1.1 0.715352 -0.69252 0.123381
1.11 0.711339 -0.697117 0.120848
1.12 0.708721 -0.700167 0.118668
1.13 0.705746 -0.702911 0.120026
1.14 0.700428 -0.708707 0.117358
1.15 0.694349 -0.714433 0.118899
1.16 0.689697 -0.71835 0.122659
1.17 0.681778 -0.72498 0.127958
1.18 0.672528 -0.734947 0.120041
1.19 0.670489 -0.737003 0.11863
1.2 0.661992 -0.745114 0.115645
1.21 0.659354 -0.748107 0.111249
1.22 0.647867 -0.758104 0.111347
1.23 0.645816 -0.759841 0.111791
1.24 0.637129 -0.767306 0.11049
1.25 0.62861 -0.773579 0.115485
1.26 0.623337 -0.777167 0.120112
1.27 0.620139 -0.780468 0.11545
1.28 0.616065 -0.782813 0.121439
1.29 0.607036 -0.790308 0.118421
1.3 0.596879 -0.797612 0.121199
1.31 0.5978 -0.798166 0.113186
1.32 0.597566 -0.799325 0.106516
1.33 0.595668 -0.799901 0.112967
1.34 0.590927 -0.803654 0.111219
